Time,NodeID,q0,q1,q2,q3,leftActivity,confirmLeft,rightActivity,confirmRight,
580668,0.0,-0.43021712,0.6471237,0.4916843,0.38861325,9.0,0.0,1.0,0.0,
588895,1.0,-0.7259307,-0.11343219,-0.54175425,-0.40409115,9.0,0.0,1.0,0.0,
588935,1.0,-0.725297,-0.11409006,-0.5412899,-0.40566337,9.0,0.0,1.0,0.0,
588022,2.0,-0.88115066,-0.09440007,-0.43178308,0.15765509,9.0,0.0,1.0,0.0,
588062,2.0,-0.88151985,-0.09453317,-0.430955,0.15777726,9.0,0.0,1.0,0.0,
588446,3.0,0.8610668,0.37772435,0.3035057,0.14283562,9.0,0.0,1.0,0.0,
588486,3.0,0.8608071,0.37811312,0.3042346,0.14181809,9.0,0.0,1.0,0.0,
587370,5.0,0.58315027,-0.4763233,-0.40911332,0.5121581,9.0,0.0,1.0,0.0,
587410,5.0,0.58472323,-0.4938251,-0.395821,0.50417185,9.0,0.0,1.0,0.0,
586606,6.0,0.5413378,-0.5571271,-0.42780256,0.45844933,9.0,0.0,1.0,0.0,
586646,6.0,0.54150456,-0.57015014,-0.41429484,0.45463172,9.0,0.0,1.0,0.0,
580797,0.0,-0.427965,0.64916474,0.49037436,0.38935035,9.0,0.0,1.0,0.0,
588972,1.0,-0.72542965,-0.11406443,-0.5402297,-0.40684468,9.0,0.0,1.0,0.0,
588104,2.0,-0.88214535,-0.09451507,-0.4296418,0.15787306,9.0,0.0,1.0,0.0,
588528,3.0,0.86123806,0.3778847,0.30342335,0.14154881,9.0,0.0,1.0,0.0,
586686,6.0,0.53701407,-0.58014,-0.40903792,0.45207372,9.0,0.0,1.0,0.0,
587452,5.0,0.58515227,-0.5089387,-0.38855177,0.4942006,9.0,0.0,1.0,0.0,
589015,1.0,-0.7257989,-0.11395662,-0.53944206,-0.4072614,9.0,0.0,1.0,0.0,
588145,2.0,-0.882368,-0.09454855,-0.42919624,0.15782078,9.0,0.0,1.0,0.0,
580837,0.0,-0.42715713,0.65066427,0.48995385,0.38826257,9.0,0.0,1.0,0.0,
580877,0.0,-0.42680088,0.6524779,0.48890397,0.38693175,9.0,0.0,1.0,0.0,
589056,1.0,-0.7256542,-0.11368887,-0.5390175,-0.40815508,9.0,0.0,1.0,0.0,
588186,2.0,-0.8827551,-0.09325702,-0.42875475,0.1576241,9.0,0.0,1.0,0.0,
588569,3.0,0.86150974,0.37758315,0.30273694,0.14216799,9.0,0.0,1.0,0.0,
